id	probe	http	body_bytes	result_hint	body
15038392	academyinfo-finance-servicekey	200	171	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE ACCESS DENIED ERROR.</resultMsg></header></response>	docs/api/data-go-kr-candidate-docs/15038392/probes/live-2026-05-16-blocker-resolution/academyinfo-finance-servicekey.body
15038392	academyinfo-finance-ServiceKey	200	171	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE ACCESS DENIED ERROR.</resultMsg></header></response>	docs/api/data-go-kr-candidate-docs/15038392/probes/live-2026-05-16-blocker-resolution/academyinfo-finance-ServiceKey.body
15038392	academyinfo-notice-year	200	171	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE ACCESS DENIED ERROR.</resultMsg></header></response>	docs/api/data-go-kr-candidate-docs/15038392/probes/live-2026-05-16-blocker-resolution/academyinfo-notice-year.body
15038392	academyinfo-university-code	200	171	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE ACCESS DENIED ERROR.</resultMsg></header></response>	docs/api/data-go-kr-candidate-docs/15038392/probes/live-2026-05-16-blocker-resolution/academyinfo-university-code.body
15063444	uiryeong-exact-http	302	0		docs/api/data-go-kr-candidate-docs/15063444/probes/live-2026-05-16-blocker-resolution/uiryeong-exact-http.body
15063444	uiryeong-follow-browser	200	189	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><rfcOpenApi><header><resultCode>99</resultCode><resultMsg>등록되지 않은 서비스키입니다.</resultMsg></header></rfcOpenApi>	docs/api/data-go-kr-candidate-docs/15063444/probes/live-2026-05-16-blocker-resolution/uiryeong-follow-browser.body
15063444	uiryeong-https-browser	200	189	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><rfcOpenApi><header><resultCode>99</resultCode><resultMsg>등록되지 않은 서비스키입니다.</resultMsg></header></rfcOpenApi>	docs/api/data-go-kr-candidate-docs/15063444/probes/live-2026-05-16-blocker-resolution/uiryeong-https-browser.body
15058923	ekape-cattle-individual-ServiceKey	200	188	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE KEY IS NOT REGISTERED ERROR.</resultMsg></header><notice/></r	docs/api/data-go-kr-candidate-docs/15058923/probes/live-2026-05-16-blocker-resolution/ekape-cattle-individual-ServiceKey.body
15058923	ekape-cattle-individual-serviceKey	200	188	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE KEY IS NOT REGISTERED ERROR.</resultMsg></header><notice/></r	docs/api/data-go-kr-candidate-docs/15058923/probes/live-2026-05-16-blocker-resolution/ekape-cattle-individual-serviceKey.body
15058923	ekape-cattle-lot-ServiceKey	200	188	<?xml version="1.0" encoding="UTF-8" standalone="yes"?><response><header><resultCode>99</resultCode><resultMsg>SERVICE KEY IS NOT REGISTERED ERROR.</resultMsg></header><notice/></r	docs/api/data-go-kr-candidate-docs/15058923/probes/live-2026-05-16-blocker-resolution/ekape-cattle-lot-ServiceKey.body
